							
"Inst
 Code"	Institute Name	Place	"Dist 
Code"	College Type	Year of Estab	Branch Name	"BC_D 
GIRLS"
AARM	AAR MAHAVEER ENGINEERING COLLEGE	BANDLAGUDA	HYD	PVT	2010	COMPUTER SCIENCE AND ENGINEERING	96032
AARM	AAR MAHAVEER ENGINEERING COLLEGE	BANDLAGUDA	HYD	PVT	2010	COMPUTER SCIENCE AND ENGINEERING (ARTIFICIAL INTELLIGENCE AND MACHINE LEARNING)	120626
AARM	AAR MAHAVEER ENGINEERING COLLEGE	BANDLAGUDA	HYD	PVT	2010	ELECTRONICS AND COMMUNICATION ENGINEERING	121526
AARM	AAR MAHAVEER ENGINEERING COLLEGE	BANDLAGUDA	HYD	PVT	2010	ELECTRICAL AND ELECTRONICS ENGINEERING	156852
AARM	AAR MAHAVEER ENGINEERING COLLEGE	BANDLAGUDA	HYD	PVT	2010	MECHANICAL ENGINEERING	156852
ACEG	A C E ENGINEERING COLLEGE (AUTONOMOUS)	GHATKESAR	MDL	PVT	2007	ARTIFICIAL INTELLIGENCE AND DATA SCIENCE	79692
ACEG	A C E ENGINEERING COLLEGE (AUTONOMOUS)	GHATKESAR	MDL	PVT	2007	ARTIFICIAL INTELLIGENCE AND MACHINE LEARNING	80193
ACEG	A C E ENGINEERING COLLEGE (AUTONOMOUS)	GHATKESAR	MDL	PVT	2007	CIVIL ENGINEERING	156852
ACEG	A C E ENGINEERING COLLEGE (AUTONOMOUS)	GHATKESAR	MDL	PVT	2007	COMPUTER SCIENCE AND ENGINEERING (DATA SCIENCE)	61467
ACEG	A C E ENGINEERING COLLEGE (AUTONOMOUS)	GHATKESAR	MDL	PVT	2007	COMPUTER SCIENCE AND ENGINEERING	44697
ACEG	A C E ENGINEERING COLLEGE (AUTONOMOUS)	GHATKESAR	MDL	PVT	2007	COMPUTER SCIENCE AND ENGINEERING (ARTIFICIAL INTELLIGENCE AND MACHINE LEARNING)	52676
ACEG	A C E ENGINEERING COLLEGE (AUTONOMOUS)	GHATKESAR	MDL	PVT	2007	COMPUTER SCIENCE AND ENGINEERING (IOT)	94118
ACEG	A C E ENGINEERING COLLEGE (AUTONOMOUS)	GHATKESAR	MDL	PVT	2007	ELECTRONICS AND COMMUNICATION ENGINEERING	93050
